Iteration,autoVec,explicitVec,fullVec,serial
1,3.338500421229992,2.853707414829659,2.877510040160643,3.3371563501433634
2,3.346976587502105,2.9579158316633265,3.0100401606425704,3.3474962063732927
3,3.338668913226622,2.9238476953907817,2.835341365461847,3.3411467116357505
4,3.340522325189554,2.927855711422846,2.857142857142857,3.338842975206611
5,3.355686604886268,3.0180722891566263,3.0362173038229376,3.352841963231574
6,3.3447346251053074,2.8917835671342687,2.877510040160643,3.3363130376117387
7,3.341870261162595,2.853707414829659,2.847082494969819,3.3374936751560127
8,3.338668913226622,2.913654618473896,2.821285140562249,3.3363130376117387
9,3.337826453243471,2.929718875502008,2.827309236947791,3.3363130376117387
10,3.3420387531592253,2.95,2.827309236947791,3.3376623376623376
MEAN,3.3427127211457455,2.9218436873747495,2.8795180722891565,3.340360937763535
