Iteration,autoVec,explicitVec,fullVec,serial
1,2.7779602807227115,7.590673575129534,7.045859872611464,3.4395197153868957
2,2.8685258964143427,7.779605263157894,7.373026315789474,3.472255192878338
3,2.8212501891932797,7.853932584269663,7.304347826086956,3.453562435194786
4,2.5854779411764706,7.743198407431985,7.864903502501787,3.4280956706024828
5,2.697297297297297,7.6751968503937,7.267716535433071,3.4498665084544644
6,2.842008291110088,7.905119453924914,7.43668720054757,3.4690909090909092
7,2.804451038575668,8.362068965517242,7.599050203527816,3.479188739215983
8,2.9080217129071175,7.635240572171652,7.223452768729642,3.431311789877527
9,2.7670634322736176,7.824442943956785,7.484417344173442,3.4768021762127854
10,2.6264240272229618,8.0314381270903,7.365281501340483,3.4501051998797716
MEAN,2.769947407963937,7.833778371161548,7.390113560454242,3.4549670855774983
