Iteration,autoVec,explicitVec,fullVec,serial
1,7.491883729709325,5.070373588184188,5.160919540229885,7.48904833836858
2,7.56101246694371,5.100781928757602,5.200000000000001,7.569160997732426
3,7.497356495468278,5.100781928757602,5.098230088495576,7.502267573696145
4,7.492824773413897,5.098260869565218,5.1709477413640395,7.497922176048358
5,7.538723082735172,5.062554300608166,5.180530973451328,7.506046863189721
6,7.533987915407854,5.062554300608166,4.970770593445527,7.493197278911565
7,7.504722327162826,5.059895833333334,5.091150442477876,7.495652173913044
8,7.492638731596829,5.06695652173913,5.099202834366696,7.497164461247636
9,7.523989421987156,5.079061685490878,5.094774136403897,7.49244142101285
10,7.5022658610271895,5.0981754995655955,5.102745792736935,7.495652173913044
MEAN,7.51321752265861,5.0799304952215465,5.115044247787611,7.5037792894935755
