Iteration,autoVec,explicitVec,fullVec,serial
1,2.440493124703651,4.0,4.135294117647058,2.4268867924528297
2,2.4381223328591752,4.005780346820809,4.141176470588235,2.424528301886792
3,2.43764817449028,3.9096045197740112,4.087209302325581,2.424528301886792
4,2.4381223328591752,4.0,4.135294117647058,2.422641509433962
5,2.4381223328591752,4.034682080924855,4.170588235294117,2.424528301886792
6,2.43764817449028,4.0,4.135294117647058,2.4240566037735847
7,2.43764817449028,4.0,4.135294117647058,2.4231132075471695
8,2.43764817449028,3.994219653179191,4.135294117647058,2.4240566037735847
9,2.4371740161213844,3.9096045197740112,4.063583815028902,2.4240566037735847
10,2.43764817449028,4.034682080924855,4.1764705882352935,2.4235849056603773
MEAN,2.4381223328591752,3.9827586206896552,4.141176470588235,2.4240566037735847
