Iteration,autoVec,explicitVec,fullVec,serial
1,1.610991046619327,1.0133919648211074,1.0783529882070757,1.7194478908188584
2,1.6057751698579368,1.0141886490807355,1.0760977548181998,1.7116488289126726
3,1.6058078467717023,1.013591844893064,1.0753329357980521,1.711803939816969
4,1.6053444547420452,1.0141886490807355,1.0753329357980521,1.712069500465405
5,1.6046619326952762,1.0129896083133494,1.0723658051689862,1.712069500465405
6,1.6053119209388513,1.0123925644613232,1.071769383697813,1.7120248254460824
7,1.6041377180793577,1.0117929242454529,1.0725646123260435,1.711228287841191
8,1.6036745406824147,1.0119928043174096,1.071158815344862,1.7119143654979834
9,1.6043854231006796,1.0183852917665868,1.071556350626118,1.7109181141439205
10,1.6039542786530738,1.018392642942823,1.0719825014913502,1.7121799844840961
MEAN,1.6054663372452131,1.0141914851089346,1.073587907716786,1.7124243834341553
