Iteration,autoVec,explicitVec,fullVec,serial
1,2.510362257792755,2.3326653306613223,2.3413654618473894,2.4739416427728114
2,2.508169108977598,2.3306613226452906,2.329317269076305,2.471084134210083
3,2.5091828138163437,2.32064128256513,2.329317269076305,2.4725126475548063
4,2.5091828138163437,2.32064128256513,2.334004024144869,2.473435655253837
5,2.5106992417860154,2.325301204819277,2.3360160965794767,2.4717490301905882
6,2.5106992417860154,2.3186372745490984,2.3273092369477912,2.473435655253837
7,2.510193765796125,2.3186372745490984,2.334004024144869,2.4698937426210152
8,2.509351305812974,2.323293172690763,2.329317269076305,2.472255017709563
9,2.508508845829823,2.323293172690763,2.329317269076305,2.469219092595716
10,2.509351305812974,2.314,2.3393574297188757,2.4720863552032384
MEAN,2.5096882898062343,2.3226452905811623,2.3313253012048194,2.4720863552032384
