Iteration,autoVec,explicitVec,fullVec,serial
1,5.431200092581877,1.3684210526315788,1.4029371271225333,5.735100104154612
2,5.410716352274042,1.401724920562869,1.428372093023256,5.742043744936928
3,3.1853469189713732,1.424619640387275,1.4315391879131256,3.451127819548872
4,3.3055420515313565,1.4704198473282442,1.4691897137311984,3.121542940320233
5,3.411121903836814,1.445083932853717,1.4211529299666508,3.0296116504854367
6,3.0352027191065796,1.457441749881122,1.4183864915572233,3.2566715186802524
7,3.1693018730235956,1.463228271251194,1.457899716177862,3.4514327343370566
8,3.4004371053909663,1.4258484425848446,1.468360498561841,3.0392822502424837
9,3.0240232953166704,1.455581947743468,1.4767441860465116,3.269062651772705
10,3.156667476317707,1.473633748801534,1.4275668073136427,3.447982498784638
MEAN,3.9715252887295898,1.4379391100702577,1.4394512771996217,4.111664012738854
