Iteration,autoVec,explicitVec,fullVec,serial
1,3.445657568238213,2.043510324483776,2.156180606957809,3.4887804878048785
2,3.4502982107355864,2.0434782608695654,2.153560830860534,3.475249939039259
3,3.4473161033797215,2.0442477876106193,2.1528189910979227,3.4932943184589127
4,3.448061630218688,2.0434782608695654,2.1551596139569416,3.484523519376067
5,3.448558648111332,2.0442477876106193,2.145817912657291,3.4729268292682933
6,3.442981366459627,2.044215180545321,2.145817912657291,3.4964642770056087
7,3.4397216007954263,2.0449852507374633,2.148778682457439,3.4770731707317077
8,3.45041014168531,2.043510324483776,2.149518874907476,3.4729268292682933
9,3.4373293621245966,2.041267501842299,2.148778682457439,3.4884174591563033
10,3.4393638170974152,2.043510324483776,2.148038490007402,3.46525237746891
MEAN,3.4449689440993785,2.0442477876106193,2.15037037037037,3.48134601316752
