Iteration,autoVec,explicitVec,fullVec,serial
1,3.049075122687807,2.9322328410078193,2.91158267020336,2.979229607250755
2,3.0498677748394414,2.928757602085143,2.910619469026549,2.978080120937264
3,3.0498489425981874,2.928757602085143,2.9141592920353987,2.979591836734694
4,3.048716012084592,2.93304347826087,2.913197519929141,2.9773328296184363
5,3.0513789195315453,2.929626411815812,2.9141592920353987,2.980347694633409
6,3.048716012084592,2.928757602085143,2.912311780336581,2.981103552532124
7,3.052134491877598,2.9253472222222223,2.9115044247787614,2.9803402646502835
8,3.049075122687807,2.9313043478260874,2.912311780336581,2.9803402646502835
9,3.049489988666415,2.929626411815812,2.91585473870682,2.978080120937264
10,3.049471299093655,2.928757602085143,2.913197519929141,2.9803402646502835
MEAN,3.049471299093655,2.929626411815812,2.9115044247787614,2.979591836734694
