Iteration,Ratio explicitVec,Ratio fullVec,Ratio autoVec,Ratio serial
0,0.0418419265348678,0.0426997917940049,8.14890287164593e-05,4.44123920091306e-05
1,0.0424001519017278,0.041214933049176,0.0003314532151109,1.5380469379222795e-05
2,0.0413208487211488,0.0428346176600487,7.933497440438477e-05,8.66429671028811e-05
3,0.0417519255209281,0.0426343353001739,0.000138143500263,0.00015350351052
4,0.0404240033649358,0.0402030191466377,0.0006113919114073,0.0003447296324547
5,0.0428237069381563,0.0412109901380896,0.0024654689617285,2.099802678243963e-06
6,0.0409551679728822,0.0415679858180322,0.0001200824487191,2.950458717574244e-06
7,0.0425191337778553,0.0420941378464831,4.527354092628681e-05,6.756630846874162e-06
8,0.0411945295764848,0.0423665850269663,9.512347200194675e-05,2.870884579116649e-06
9,0.0422222677188482,0.0425063758575865,0.0001390109441914,1.8980500039743608e-05
