Iteration,Ratio explicitVec,Ratio serial,Ratio fullVec,Ratio autoVec
0,0.2513103093574235,3.4785594252468924e-06,0.2519821056597346,3.1873801961155937e-06
1,0.2516165107888047,3.724379688076021e-06,0.25199351081543,7.83013358003063e-06
2,0.251051743979489,4.372756379466614e-06,0.2519808457092707,4.126541212177661e-06
3,0.2512854621944255,4.301439648074696e-06,0.2520259638759765,3.1607736008357363e-06
4,0.2512538130132529,4.383473058279386e-06,0.2498823683486464,1.0145167607608231e-05
5,0.2516629981166705,3.3280079009737885e-06,0.2514312817743077,5.16709006416185e-06
6,0.251220006622888,4.8792903159250495e-06,0.2517722004355865,3.032359842913145e-05
7,0.2517088464173215,3.316190610927388e-06,0.251384997542981,3.327413949166373e-06
8,0.2502952752378782,3.259939765467776e-06,0.2519048730088706,3.041574318939975e-06
9,0.2515759020184003,3.349901962136255e-06,0.251944632723003,3.957746688668219e-06
