Iteration,Ratio fullVec,Ratio explicitVec,Ratio autoVec,Ratio serial
0,0.3823134887831408,0.339950930506113,5.01727499373967e-06,5.3864881543207375e-06
1,0.380524167068042,0.3387367196794343,1.179573361706846e-05,1.184053712105029e-05
2,0.3821740557900522,0.3388484018260382,4.00084943586024e-06,4.124348503933586e-06
3,0.3789952403189418,0.3385745907038405,3.886102642277536e-06,4.362722443140038e-06
4,0.3779776422313757,0.3375435325185741,5.416999572806694e-06,6.699264376533475e-06
5,0.3815917291331326,0.3392154629183151,4.597503010960768e-06,3.863654075407585e-06
6,0.3809719973722317,0.3398338503439667,4.371455391539556e-06,4.088769113102343e-06
7,0.3823970907896205,0.3390461719747609,4.148795017765063e-06,3.720269425626632e-06
8,0.3822502811046563,0.339851318209207,3.685338581850247e-06,3.907824374190934e-06
9,0.3817192071696685,0.3384193999155226,4.413912017342381e-06,4.107637789980654e-06
