,Benchmark,Score,jdk,machine,benchmark,iteration,config
0,jvbench.somier.SomierPatternBenchmark.indexInRange,7.7,19,MAVX2,somier,1,indexInRange
1,jvbench.somier.SomierPatternBenchmark.indexInRange,7.709,19,MAVX2,somier,2,indexInRange
2,jvbench.somier.SomierPatternBenchmark.indexInRange,7.719,19,MAVX2,somier,3,indexInRange
3,jvbench.somier.SomierPatternBenchmark.indexInRange,7.709,19,MAVX2,somier,4,indexInRange
4,jvbench.somier.SomierPatternBenchmark.indexInRange,7.71,19,MAVX2,somier,5,indexInRange
5,jvbench.somier.SomierPatternBenchmark.indexInRange,7.697,19,MAVX2,somier,6,indexInRange
6,jvbench.somier.SomierPatternBenchmark.indexInRange,7.695,19,MAVX2,somier,7,indexInRange
7,jvbench.somier.SomierPatternBenchmark.indexInRange,7.704,19,MAVX2,somier,8,indexInRange
8,jvbench.somier.SomierPatternBenchmark.indexInRange,7.717,19,MAVX2,somier,9,indexInRange
9,jvbench.somier.SomierPatternBenchmark.indexInRange,7.693,19,MAVX2,somier,10,indexInRange
10,jvbench.somier.SomierPatternBenchmark.fma,1.165,19,MAVX2,somier,1,fma
11,jvbench.somier.SomierPatternBenchmark.fma,1.161,19,MAVX2,somier,2,fma
12,jvbench.somier.SomierPatternBenchmark.fma,1.16,19,MAVX2,somier,3,fma
13,jvbench.somier.SomierPatternBenchmark.fma,1.16,19,MAVX2,somier,4,fma
14,jvbench.somier.SomierPatternBenchmark.fma,1.159,19,MAVX2,somier,5,fma
15,jvbench.somier.SomierPatternBenchmark.fma,1.16,19,MAVX2,somier,6,fma
16,jvbench.somier.SomierPatternBenchmark.fma,1.159,19,MAVX2,somier,7,fma
17,jvbench.somier.SomierPatternBenchmark.fma,1.159,19,MAVX2,somier,8,fma
18,jvbench.somier.SomierPatternBenchmark.fma,1.171,19,MAVX2,somier,9,fma
19,jvbench.somier.SomierPatternBenchmark.fma,1.161,19,MAVX2,somier,10,fma
20,jvbench.somier.SomierPatternBenchmark.fmaScalar,8.302,19,MAVX2,somier,1,fmaScalar
21,jvbench.somier.SomierPatternBenchmark.fmaScalar,8.305,19,MAVX2,somier,2,fmaScalar
22,jvbench.somier.SomierPatternBenchmark.fmaScalar,8.305,19,MAVX2,somier,3,fmaScalar
23,jvbench.somier.SomierPatternBenchmark.fmaScalar,8.301,19,MAVX2,somier,4,fmaScalar
24,jvbench.somier.SomierPatternBenchmark.fmaScalar,8.301,19,MAVX2,somier,5,fmaScalar
25,jvbench.somier.SomierPatternBenchmark.fmaScalar,8.296,19,MAVX2,somier,6,fmaScalar
26,jvbench.somier.SomierPatternBenchmark.fmaScalar,8.284,19,MAVX2,somier,7,fmaScalar
27,jvbench.somier.SomierPatternBenchmark.fmaScalar,8.305,19,MAVX2,somier,8,fmaScalar
28,jvbench.somier.SomierPatternBenchmark.fmaScalar,8.297,19,MAVX2,somier,9,fmaScalar
29,jvbench.somier.SomierPatternBenchmark.fmaScalar,8.298,19,MAVX2,somier,10,fmaScalar
30,jvbench.somier.SomierPatternBenchmark.pow,8.816,19,MAVX2,somier,1,pow
31,jvbench.somier.SomierPatternBenchmark.pow,8.82,19,MAVX2,somier,2,pow
32,jvbench.somier.SomierPatternBenchmark.pow,8.81,19,MAVX2,somier,3,pow
33,jvbench.somier.SomierPatternBenchmark.pow,8.815,19,MAVX2,somier,4,pow
34,jvbench.somier.SomierPatternBenchmark.pow,8.818,19,MAVX2,somier,5,pow
35,jvbench.somier.SomierPatternBenchmark.pow,8.82,19,MAVX2,somier,6,pow
36,jvbench.somier.SomierPatternBenchmark.pow,8.812,19,MAVX2,somier,7,pow
37,jvbench.somier.SomierPatternBenchmark.pow,8.82,19,MAVX2,somier,8,pow
38,jvbench.somier.SomierPatternBenchmark.pow,8.813,19,MAVX2,somier,9,pow
39,jvbench.somier.SomierPatternBenchmark.pow,8.806,19,MAVX2,somier,10,pow
40,jvbench.particlefilter.ParticlefilterPatternBenchmark.indexInRange,47.94,19,MAVX2,particlefilter,1,indexInRange
41,jvbench.particlefilter.ParticlefilterPatternBenchmark.indexInRange,47.974,19,MAVX2,particlefilter,2,indexInRange
42,jvbench.particlefilter.ParticlefilterPatternBenchmark.indexInRange,47.944,19,MAVX2,particlefilter,3,indexInRange
43,jvbench.particlefilter.ParticlefilterPatternBenchmark.indexInRange,48.199,19,MAVX2,particlefilter,4,indexInRange
44,jvbench.particlefilter.ParticlefilterPatternBenchmark.indexInRange,47.944,19,MAVX2,particlefilter,5,indexInRange
45,jvbench.particlefilter.ParticlefilterPatternBenchmark.indexInRange,47.94,19,MAVX2,particlefilter,6,indexInRange
46,jvbench.particlefilter.ParticlefilterPatternBenchmark.indexInRange,47.938,19,MAVX2,particlefilter,7,indexInRange
47,jvbench.particlefilter.ParticlefilterPatternBenchmark.indexInRange,47.921,19,MAVX2,particlefilter,8,indexInRange
48,jvbench.particlefilter.ParticlefilterPatternBenchmark.indexInRange,47.959,19,MAVX2,particlefilter,9,indexInRange
49,jvbench.particlefilter.ParticlefilterPatternBenchmark.indexInRange,47.934,19,MAVX2,particlefilter,10,indexInRange
50,jvbench.jacobi2d.Jacobi2dPatternBenchmark.indexInRange,64.373,19,MAVX2,jacobi2d,1,indexInRange
51,jvbench.jacobi2d.Jacobi2dPatternBenchmark.indexInRange,64.41,19,MAVX2,jacobi2d,2,indexInRange
52,jvbench.jacobi2d.Jacobi2dPatternBenchmark.indexInRange,64.377,19,MAVX2,jacobi2d,3,indexInRange
53,jvbench.jacobi2d.Jacobi2dPatternBenchmark.indexInRange,64.41,19,MAVX2,jacobi2d,4,indexInRange
54,jvbench.jacobi2d.Jacobi2dPatternBenchmark.indexInRange,64.375,19,MAVX2,jacobi2d,5,indexInRange
55,jvbench.jacobi2d.Jacobi2dPatternBenchmark.indexInRange,64.426,19,MAVX2,jacobi2d,6,indexInRange
56,jvbench.jacobi2d.Jacobi2dPatternBenchmark.indexInRange,64.363,19,MAVX2,jacobi2d,7,indexInRange
57,jvbench.jacobi2d.Jacobi2dPatternBenchmark.indexInRange,64.396,19,MAVX2,jacobi2d,8,indexInRange
58,jvbench.jacobi2d.Jacobi2dPatternBenchmark.indexInRange,64.413,19,MAVX2,jacobi2d,9,indexInRange
59,jvbench.jacobi2d.Jacobi2dPatternBenchmark.indexInRange,64.375,19,MAVX2,jacobi2d,10,indexInRange
60,jvbench.canneal.CannealPatternBenchmark.indexInRange,5.986,19,MAVX2,canneal,1,indexInRange
61,jvbench.canneal.CannealPatternBenchmark.indexInRange,5.945,19,MAVX2,canneal,2,indexInRange
