"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.scalarACOS","ss",1,20,3.789934,0.019700,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.scalarASIN","ss",1,20,4.141961,0.034056,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.scalarATAN","ss",1,20,0.935510,0.007177,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.scalarATAN2","ss",1,20,1.656177,0.011752,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.scalarCBRT","ss",1,20,0.362183,0.001683,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.scalarCOS","ss",1,20,0.362270,0.006164,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.scalarCOSH","ss",1,20,1.577340,0.003362,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.scalarEXP","ss",1,20,0.232342,0.002110,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.scalarEXPM1","ss",1,20,0.643672,0.008164,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.scalarHYPOT","ss",1,20,0.487731,0.001865,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.scalarLOG","ss",1,20,0.249735,0.006153,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.scalarLOG10","ss",1,20,0.281455,0.001580,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.scalarLOG1P","ss",1,20,1.015217,0.005077,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.scalarMUL0","ss",1,20,0.027680,0.000997,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.scalarMUL1","ss",1,20,0.026139,0.001426,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.scalarMUL2","ss",1,20,0.028088,0.001118,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.scalarPOW","ss",1,20,0.565328,0.001682,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.scalarPOW0","ss",1,20,0.346999,0.002419,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.scalarPOW1","ss",1,20,0.543832,0.005941,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.scalarPOW2","ss",1,20,0.027912,0.001354,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.scalarSIN","ss",1,20,0.367184,0.005981,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.scalarSINH","ss",1,20,1.800973,0.015321,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.scalarTAN","ss",1,20,0.505922,0.001402,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.scalarTANH","ss",1,20,2.045757,0.014330,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.vectorACOS","ss",1,20,0.152373,0.033678,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.vectorASIN","ss",1,20,0.146609,0.020035,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.vectorATAN","ss",1,20,0.239372,0.029657,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.vectorATAN2","ss",1,20,0.290262,0.021768,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.vectorCBRT","ss",1,20,0.177625,0.027071,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.vectorCOS","ss",1,20,0.145603,0.017259,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.vectorCOSH","ss",1,20,0.133831,0.004779,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.vectorEXP","ss",1,20,0.120244,0.024897,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.vectorEXPM1","ss",1,20,0.166027,0.005355,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.vectorHYPOT","ss",1,20,0.180471,0.019394,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.vectorLOG","ss",1,20,0.143131,0.021795,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.vectorLOG10","ss",1,20,0.161942,0.021333,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.vectorLOG1P","ss",1,20,0.171443,0.018367,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.vectorMUL0","ss",1,20,0.105795,0.019972,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.vectorMUL1","ss",1,20,0.105569,0.017748,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.vectorMUL2","ss",1,20,0.111298,0.028252,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.vectorPOW","ss",1,20,0.751117,0.010369,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.vectorPOW0","ss",1,20,0.504420,0.007021,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.vectorPOW1","ss",1,20,0.746772,0.010019,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.vectorPOW2","ss",1,20,0.265851,0.005885,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.vectorSIN","ss",1,20,0.167290,0.019730,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.vectorSINH","ss",1,20,0.176490,0.020515,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.vectorTAN","ss",1,20,0.183899,0.018007,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.vectorTANH","ss",1,20,0.189692,0.019686,"s/op"
