"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"jvbench.particlefilter.ParticlefilterPatternBenchmark.indexInRange","ss",1,10,41.384558,0.359424,"s/op"
"jvbench.particlefilter.ParticlefilterPatternBenchmark.indexInRange:·gc.alloc.rate","ss",1,10,1.323325,0.011019,"MB/sec"
"jvbench.particlefilter.ParticlefilterPatternBenchmark.indexInRange:·gc.alloc.rate.norm","ss",1,10,58140521.600000,23435.796641,"B/op"
"jvbench.particlefilter.ParticlefilterPatternBenchmark.indexInRange:·gc.churn.G1_Eden_Space","ss",1,10,1.389514,4.428821,"MB/sec"
"jvbench.particlefilter.ParticlefilterPatternBenchmark.indexInRange:·gc.churn.G1_Eden_Space.norm","ss",1,10,61236838.400000,195178647.619464,"B/op"
"jvbench.particlefilter.ParticlefilterPatternBenchmark.indexInRange:·gc.churn.G1_Old_Gen","ss",1,10,0.342620,1.092038,"MB/sec"
"jvbench.particlefilter.ParticlefilterPatternBenchmark.indexInRange:·gc.churn.G1_Old_Gen.norm","ss",1,10,15099494.400000,48126241.878772,"B/op"
"jvbench.particlefilter.ParticlefilterPatternBenchmark.indexInRange:·gc.churn.G1_Survivor_Space","ss",1,10,0.000564,0.002694,"MB/sec"
"jvbench.particlefilter.ParticlefilterPatternBenchmark.indexInRange:·gc.churn.G1_Survivor_Space.norm","ss",1,10,24723.200000,118199.458044,"B/op"
"jvbench.particlefilter.ParticlefilterPatternBenchmark.indexInRange:·gc.count","ss",1,10,2.000000,NaN,"counts"
"jvbench.particlefilter.ParticlefilterPatternBenchmark.indexInRange:·gc.time","ss",1,10,124.000000,NaN,"ms"
