"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"jvbench.lavaMD.LavaMDPatternBenchmark.fma","ss",1,10,0.848578,0.003323,"s/op"
"jvbench.lavaMD.LavaMDPatternBenchmark.fma:·gc.alloc.rate","ss",1,10,33.415645,0.268444,"MB/sec"
"jvbench.lavaMD.LavaMDPatternBenchmark.fma:·gc.alloc.rate.norm","ss",1,10,47669972.800000,12773.896319,"B/op"
"jvbench.lavaMD.LavaMDPatternBenchmark.fma:·gc.churn.G1_Eden_Space","ss",1,10,52.507425,251.033407,"MB/sec"
"jvbench.lavaMD.LavaMDPatternBenchmark.fma:·gc.churn.G1_Eden_Space.norm","ss",1,10,75078041.600000,358941554.012507,"B/op"
"jvbench.lavaMD.LavaMDPatternBenchmark.fma:·gc.churn.G1_Survivor_Space","ss",1,10,0.002858,0.013666,"MB/sec"
"jvbench.lavaMD.LavaMDPatternBenchmark.fma:·gc.churn.G1_Survivor_Space.norm","ss",1,10,4087.200000,19540.545921,"B/op"
"jvbench.lavaMD.LavaMDPatternBenchmark.fma:·gc.count","ss",1,10,1.000000,NaN,"counts"
"jvbench.lavaMD.LavaMDPatternBenchmark.fma:·gc.time","ss",1,10,3.000000,NaN,"ms"
"jvbench.lavaMD.LavaMDPatternBenchmark.fmaScalar","ss",1,10,9.945495,0.004620,"s/op"
"jvbench.lavaMD.LavaMDPatternBenchmark.fmaScalar:·gc.alloc.rate","ss",1,10,0.000158,0.000289,"MB/sec"
"jvbench.lavaMD.LavaMDPatternBenchmark.fmaScalar:·gc.alloc.rate.norm","ss",1,10,1732.000000,3176.687192,"B/op"
"jvbench.lavaMD.LavaMDPatternBenchmark.fmaScalar:·gc.count","ss",1,10,0.000000,NaN,"counts"
