"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.scalarACOS","ss",1,10,3.510288,0.024779,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.scalarASIN","ss",1,10,3.770619,0.018815,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.scalarATAN","ss",1,10,0.946084,0.019378,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.scalarATAN2","ss",1,10,1.590738,0.023181,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.scalarCBRT","ss",1,10,0.837596,0.020529,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.scalarCOS","ss",1,10,0.355415,0.015789,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.scalarCOSH","ss",1,10,1.613962,0.021714,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.scalarEXP","ss",1,10,0.253781,0.007026,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.scalarEXPM1","ss",1,10,0.713377,0.018782,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.scalarHYPOT","ss",1,10,0.419221,0.000411,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.scalarLOG","ss",1,10,0.287155,0.018367,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.scalarLOG10","ss",1,10,0.311870,0.000514,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.scalarLOG1P","ss",1,10,1.016746,0.017066,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.scalarMUL0","ss",1,10,0.027879,0.018483,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.scalarMUL1","ss",1,10,0.021996,0.000039,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.scalarMUL2","ss",1,10,0.023752,0.000058,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.scalarPOW","ss",1,10,0.615776,0.027768,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.scalarPOW0","ss",1,10,0.364768,0.019891,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.scalarPOW1","ss",1,10,0.601969,0.015101,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.scalarPOW2","ss",1,10,0.028405,0.014944,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.scalarSIN","ss",1,10,0.359768,0.020931,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.scalarSINH","ss",1,10,1.787993,0.019725,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.scalarTAN","ss",1,10,0.522529,0.014616,"s/op"
