"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.scalarACOS","ss",1,10,12.294977,0.007536,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.scalarASIN","ss",1,10,13.313653,0.004992,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.scalarATAN","ss",1,10,3.021206,0.017427,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.scalarATAN2","ss",1,10,5.349361,0.002054,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.scalarCBRT","ss",1,10,1.213455,0.000148,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.scalarCOS","ss",1,10,1.087003,0.000241,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.scalarCOSH","ss",1,10,5.048988,0.000519,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.scalarEXP","ss",1,10,0.729078,0.000126,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.scalarEXPM1","ss",1,10,2.374628,0.002603,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.scalarHYPOT","ss",1,10,1.581386,0.002974,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.scalarLOG","ss",1,10,0.779434,0.000133,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.scalarLOG10","ss",1,10,0.888539,0.000125,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.scalarLOG1P","ss",1,10,3.316360,0.003938,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.scalarMUL0","ss",1,10,0.138075,0.003444,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.scalarMUL1","ss",1,10,0.113330,0.000219,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.scalarMUL2","ss",1,10,0.142943,0.001599,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.scalarPOW","ss",1,10,1.777691,0.000072,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.scalarPOW0","ss",1,10,1.145632,0.000133,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.scalarPOW1","ss",1,10,1.694065,0.000103,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.scalarPOW2","ss",1,10,0.142337,0.003327,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.scalarSIN","ss",1,10,1.086220,0.000183,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.scalarSINH","ss",1,10,5.625496,0.001420,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.scalarTAN","ss",1,10,1.547383,0.000152,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.scalarTANH","ss",1,10,6.536865,0.004478,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.vectorACOS","ss",1,10,0.451027,0.139890,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.vectorASIN","ss",1,10,0.434021,0.137125,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.vectorATAN","ss",1,10,0.443649,0.133998,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.vectorATAN2","ss",1,10,0.545265,0.133189,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.vectorCBRT","ss",1,10,0.422518,0.132683,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.vectorCOS","ss",1,10,0.423125,0.131863,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.vectorCOSH","ss",1,10,0.415046,0.133050,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.vectorEXP","ss",1,10,0.413246,0.134470,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.vectorEXPM1","ss",1,10,0.422647,0.133686,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.vectorHYPOT","ss",1,10,0.453923,0.135893,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.vectorLOG","ss",1,10,0.415197,0.135889,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.vectorLOG10","ss",1,10,0.417252,0.133182,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.vectorLOG1P","ss",1,10,0.438213,0.135427,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.vectorMUL0","ss",1,10,0.366648,0.128762,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.vectorMUL1","ss",1,10,0.370774,0.131889,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.vectorMUL2","ss",1,10,0.366811,0.127241,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.vectorPOW","ss",1,10,0.538153,0.132972,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.vectorPOW0","ss",1,10,0.516350,0.118401,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.vectorPOW1","ss",1,10,0.516475,0.125715,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.vectorPOW2","ss",1,10,0.527311,0.099383,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.vectorSIN","ss",1,10,0.432224,0.132636,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.vectorSINH","ss",1,10,0.432416,0.131794,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.vectorTAN","ss",1,10,0.459825,0.139112,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.vectorTANH","ss",1,10,0.499886,0.122996,"s/op"
