,Benchmark,Score,jdk,machine,benchmark,iteration,config
0,jvbench.axpy.AxpyBenchmark.autoVec,0.081,19,dockerimg,axpy,1,autoVec
1,jvbench.axpy.AxpyBenchmark.autoVec,0.076,19,dockerimg,axpy,2,autoVec
2,jvbench.axpy.AxpyBenchmark.autoVec,0.08,19,dockerimg,axpy,3,autoVec
3,jvbench.axpy.AxpyBenchmark.autoVec,0.088,19,dockerimg,axpy,4,autoVec
4,jvbench.axpy.AxpyBenchmark.autoVec,0.08,19,dockerimg,axpy,5,autoVec
5,jvbench.axpy.AxpyBenchmark.autoVec,0.105,19,dockerimg,axpy,6,autoVec
6,jvbench.axpy.AxpyBenchmark.autoVec,0.086,19,dockerimg,axpy,7,autoVec
7,jvbench.axpy.AxpyBenchmark.autoVec,0.123,19,dockerimg,axpy,8,autoVec
8,jvbench.axpy.AxpyBenchmark.autoVec,0.078,19,dockerimg,axpy,9,autoVec
9,jvbench.axpy.AxpyBenchmark.autoVec,0.106,19,dockerimg,axpy,10,autoVec
10,jvbench.axpy.AxpyBenchmark.explicitVec,0.069,19,dockerimg,axpy,1,explicitVec
11,jvbench.axpy.AxpyBenchmark.explicitVec,0.069,19,dockerimg,axpy,2,explicitVec
12,jvbench.axpy.AxpyBenchmark.explicitVec,0.068,19,dockerimg,axpy,3,explicitVec
13,jvbench.axpy.AxpyBenchmark.explicitVec,0.068,19,dockerimg,axpy,4,explicitVec
14,jvbench.axpy.AxpyBenchmark.explicitVec,0.068,19,dockerimg,axpy,5,explicitVec
15,jvbench.axpy.AxpyBenchmark.explicitVec,0.07,19,dockerimg,axpy,6,explicitVec
16,jvbench.axpy.AxpyBenchmark.explicitVec,0.07,19,dockerimg,axpy,7,explicitVec
17,jvbench.axpy.AxpyBenchmark.explicitVec,0.069,19,dockerimg,axpy,8,explicitVec
18,jvbench.axpy.AxpyBenchmark.explicitVec,0.069,19,dockerimg,axpy,9,explicitVec
19,jvbench.axpy.AxpyBenchmark.explicitVec,0.068,19,dockerimg,axpy,10,explicitVec
20,jvbench.axpy.AxpyBenchmark.fullVec,0.071,19,dockerimg,axpy,1,fullVec
21,jvbench.axpy.AxpyBenchmark.fullVec,0.067,19,dockerimg,axpy,2,fullVec
22,jvbench.axpy.AxpyBenchmark.fullVec,0.069,19,dockerimg,axpy,3,fullVec
23,jvbench.axpy.AxpyBenchmark.fullVec,0.067,19,dockerimg,axpy,4,fullVec
24,jvbench.axpy.AxpyBenchmark.fullVec,0.069,19,dockerimg,axpy,5,fullVec
25,jvbench.axpy.AxpyBenchmark.fullVec,0.07,19,dockerimg,axpy,6,fullVec
26,jvbench.axpy.AxpyBenchmark.fullVec,0.068,19,dockerimg,axpy,7,fullVec
27,jvbench.axpy.AxpyBenchmark.fullVec,0.068,19,dockerimg,axpy,8,fullVec
28,jvbench.axpy.AxpyBenchmark.fullVec,0.072,19,dockerimg,axpy,9,fullVec
29,jvbench.axpy.AxpyBenchmark.fullVec,0.07,19,dockerimg,axpy,10,fullVec
30,jvbench.axpy.AxpyBenchmark.serial,0.09,19,dockerimg,axpy,1,serial
31,jvbench.axpy.AxpyBenchmark.serial,0.076,19,dockerimg,axpy,2,serial
32,jvbench.axpy.AxpyBenchmark.serial,0.077,19,dockerimg,axpy,3,serial
33,jvbench.axpy.AxpyBenchmark.serial,0.079,19,dockerimg,axpy,4,serial
34,jvbench.axpy.AxpyBenchmark.serial,0.08,19,dockerimg,axpy,5,serial
35,jvbench.axpy.AxpyBenchmark.serial,0.075,19,dockerimg,axpy,6,serial
36,jvbench.axpy.AxpyBenchmark.serial,0.076,19,dockerimg,axpy,7,serial
37,jvbench.axpy.AxpyBenchmark.serial,0.076,19,dockerimg,axpy,8,serial
38,jvbench.axpy.AxpyBenchmark.serial,0.078,19,dockerimg,axpy,9,serial
39,jvbench.axpy.AxpyBenchmark.serial,0.076,19,dockerimg,axpy,10,serial
40,jvbench.axpy.AxpyBenchmark.autoVec,0.087,19,dockerimg,axpy,1,autoVec
41,jvbench.axpy.AxpyBenchmark.autoVec,0.081,19,dockerimg,axpy,2,autoVec
42,jvbench.axpy.AxpyBenchmark.autoVec,0.08,19,dockerimg,axpy,3,autoVec
43,jvbench.axpy.AxpyBenchmark.autoVec,0.069,19,dockerimg,axpy,4,autoVec
44,jvbench.axpy.AxpyBenchmark.autoVec,0.067,19,dockerimg,axpy,5,autoVec
45,jvbench.axpy.AxpyBenchmark.autoVec,0.068,19,dockerimg,axpy,6,autoVec
46,jvbench.axpy.AxpyBenchmark.autoVec,0.076,19,dockerimg,axpy,7,autoVec
47,jvbench.axpy.AxpyBenchmark.autoVec,0.074,19,dockerimg,axpy,8,autoVec
