"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"jvbench.somier.SomierPatternBenchmark.fma","ss",1,10,191.249303,1.087843,"s/op"
"jvbench.somier.SomierPatternBenchmark.fma:·gc.alloc.rate","ss",1,10,1524.407398,8.666883,"MB/sec"
"jvbench.somier.SomierPatternBenchmark.fma:·gc.alloc.rate.norm","ss",1,10,306501334775.200000,9969351.884401,"B/op"
"jvbench.somier.SomierPatternBenchmark.fma:·gc.churn.G1_Eden_Space","ss",1,10,1524.987452,9.827893,"MB/sec"
"jvbench.somier.SomierPatternBenchmark.fma:·gc.churn.G1_Eden_Space.norm","ss",1,10,306618721894.400000,1435766216.050027,"B/op"
"jvbench.somier.SomierPatternBenchmark.fma:·gc.churn.G1_Survivor_Space","ss",1,10,0.000926,0.000118,"MB/sec"
"jvbench.somier.SomierPatternBenchmark.fma:·gc.churn.G1_Survivor_Space.norm","ss",1,10,186236.000000,24173.523357,"B/op"
"jvbench.somier.SomierPatternBenchmark.fma:·gc.count","ss",1,10,1021.000000,NaN,"counts"
"jvbench.somier.SomierPatternBenchmark.fma:·gc.time","ss",1,10,1689.000000,NaN,"ms"
"jvbench.somier.SomierPatternBenchmark.fmaScalar","ss",1,10,183.276638,0.650608,"s/op"
"jvbench.somier.SomierPatternBenchmark.fmaScalar:·gc.alloc.rate","ss",1,10,1468.228006,5.190950,"MB/sec"
"jvbench.somier.SomierPatternBenchmark.fmaScalar:·gc.alloc.rate.norm","ss",1,10,282933805526.400000,11697831.471134,"B/op"
"jvbench.somier.SomierPatternBenchmark.fmaScalar:·gc.churn.G1_Eden_Space","ss",1,10,1467.297718,8.685237,"MB/sec"
"jvbench.somier.SomierPatternBenchmark.fmaScalar:·gc.churn.G1_Eden_Space.norm","ss",1,10,282754809856.000000,1483892457.928799,"B/op"
"jvbench.somier.SomierPatternBenchmark.fmaScalar:·gc.churn.G1_Survivor_Space","ss",1,10,0.000916,0.000211,"MB/sec"
"jvbench.somier.SomierPatternBenchmark.fmaScalar:·gc.churn.G1_Survivor_Space.norm","ss",1,10,176474.400000,40780.989952,"B/op"
"jvbench.somier.SomierPatternBenchmark.fmaScalar:·gc.count","ss",1,10,911.000000,NaN,"counts"
"jvbench.somier.SomierPatternBenchmark.fmaScalar:·gc.time","ss",1,10,1472.000000,NaN,"ms"
