"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"jvbench.particlefilter.ParticlefilterPatternBenchmark.xorExtended","ss",1,10,5.508611,0.060124,"s/op"
"jvbench.particlefilter.ParticlefilterPatternBenchmark.xorExtended:·gc.alloc.rate","ss",1,10,5.638075,0.056176,"MB/sec"
"jvbench.particlefilter.ParticlefilterPatternBenchmark.xorExtended:·gc.alloc.rate.norm","ss",1,10,35525268.800000,12742.309780,"B/op"
"jvbench.particlefilter.ParticlefilterPatternBenchmark.xorExtended:·gc.churn.G1_Eden_Space","ss",1,10,4.867245,23.269875,"MB/sec"
"jvbench.particlefilter.ParticlefilterPatternBenchmark.xorExtended:·gc.churn.G1_Eden_Space.norm","ss",1,10,30618419.200000,146383985.714598,"B/op"
"jvbench.particlefilter.ParticlefilterPatternBenchmark.xorExtended:·gc.churn.G1_Old_Gen","ss",1,10,2.400285,11.475555,"MB/sec"
"jvbench.particlefilter.ParticlefilterPatternBenchmark.xorExtended:·gc.churn.G1_Old_Gen.norm","ss",1,10,15099494.400000,72189362.818158,"B/op"
"jvbench.particlefilter.ParticlefilterPatternBenchmark.xorExtended:·gc.churn.G1_Survivor_Space","ss",1,10,0.007928,0.037902,"MB/sec"
"jvbench.particlefilter.ParticlefilterPatternBenchmark.xorExtended:·gc.churn.G1_Survivor_Space.norm","ss",1,10,49871.200000,238429.847755,"B/op"
"jvbench.particlefilter.ParticlefilterPatternBenchmark.xorExtended:·gc.count","ss",1,10,1.000000,NaN,"counts"
"jvbench.particlefilter.ParticlefilterPatternBenchmark.xorExtended:·gc.time","ss",1,10,1.000000,NaN,"ms"
