"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"jvbench.particlefilter.ParticlefilterPatternBenchmark.xorPublic","ss",1,10,4.808009,0.024346,"s/op"
"jvbench.particlefilter.ParticlefilterPatternBenchmark.xorPublic:·gc.alloc.rate","ss",1,10,6.381960,0.029855,"MB/sec"
"jvbench.particlefilter.ParticlefilterPatternBenchmark.xorPublic:·gc.alloc.rate.norm","ss",1,10,35525268.800000,12742.309780,"B/op"
"jvbench.particlefilter.ParticlefilterPatternBenchmark.xorPublic:·gc.churn.G1_Eden_Space","ss",1,10,5.510905,26.347154,"MB/sec"
"jvbench.particlefilter.ParticlefilterPatternBenchmark.xorPublic:·gc.churn.G1_Eden_Space.norm","ss",1,10,30618419.200000,146383985.714598,"B/op"
"jvbench.particlefilter.ParticlefilterPatternBenchmark.xorPublic:·gc.churn.G1_Old_Gen","ss",1,10,2.717706,12.993117,"MB/sec"
"jvbench.particlefilter.ParticlefilterPatternBenchmark.xorPublic:·gc.churn.G1_Old_Gen.norm","ss",1,10,15099494.400000,72189362.818158,"B/op"
"jvbench.particlefilter.ParticlefilterPatternBenchmark.xorPublic:·gc.churn.G1_Survivor_Space","ss",1,10,0.009061,0.043319,"MB/sec"
"jvbench.particlefilter.ParticlefilterPatternBenchmark.xorPublic:·gc.churn.G1_Survivor_Space.norm","ss",1,10,50341.600000,240678.789036,"B/op"
"jvbench.particlefilter.ParticlefilterPatternBenchmark.xorPublic:·gc.count","ss",1,10,1.000000,NaN,"counts"
"jvbench.particlefilter.ParticlefilterPatternBenchmark.xorPublic:·gc.time","ss",1,10,1.000000,NaN,"ms"
