"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"jvbench.lavaMD.LavaMDPatternBenchmark.fma","ss",1,10,0.453888,0.001097,"s/op"
"jvbench.lavaMD.LavaMDPatternBenchmark.fma:·gc.alloc.rate","ss",1,10,47.607355,0.045612,"MB/sec"
"jvbench.lavaMD.LavaMDPatternBenchmark.fma:·gc.alloc.rate.norm","ss",1,10,47668758.400000,12690.454368,"B/op"
"jvbench.lavaMD.LavaMDPatternBenchmark.fma:·gc.churn.G1_Eden_Space","ss",1,10,125.423027,599.636528,"MB/sec"
"jvbench.lavaMD.LavaMDPatternBenchmark.fma:·gc.churn.G1_Eden_Space.norm","ss",1,10,125829120.000000,601578023.484648,"B/op"
"jvbench.lavaMD.LavaMDPatternBenchmark.fma:·gc.count","ss",1,10,1.000000,NaN,"counts"
"jvbench.lavaMD.LavaMDPatternBenchmark.fma:·gc.time","ss",1,10,1.000000,NaN,"ms"
"jvbench.lavaMD.LavaMDPatternBenchmark.fmaScalar","ss",1,10,6.184307,0.000979,"s/op"
"jvbench.lavaMD.LavaMDPatternBenchmark.fmaScalar:·gc.alloc.rate","ss",1,10,0.000072,0.000002,"MB/sec"
"jvbench.lavaMD.LavaMDPatternBenchmark.fmaScalar:·gc.alloc.rate.norm","ss",1,10,507.200000,15.298920,"B/op"
"jvbench.lavaMD.LavaMDPatternBenchmark.fmaScalar:·gc.count","ss",1,10,0.000000,NaN,"counts"
