"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"jvbench.lavaMD.LavaMDPatternBenchmark.fma","ss",1,10,1.194434,0.004181,"s/op"
"jvbench.lavaMD.LavaMDPatternBenchmark.fma:·gc.alloc.rate","ss",1,10,26.506120,0.362254,"MB/sec"
"jvbench.lavaMD.LavaMDPatternBenchmark.fma:·gc.alloc.rate.norm","ss",1,10,47669967.200000,12747.948232,"B/op"
"jvbench.lavaMD.LavaMDPatternBenchmark.fma:·gc.churn.G1_Eden_Space","ss",1,10,69.389606,331.745640,"MB/sec"
"jvbench.lavaMD.LavaMDPatternBenchmark.fma:·gc.churn.G1_Eden_Space.norm","ss",1,10,125829120.000000,601578023.484648,"B/op"
"jvbench.lavaMD.LavaMDPatternBenchmark.fma:·gc.count","ss",1,10,1.000000,NaN,"counts"
"jvbench.lavaMD.LavaMDPatternBenchmark.fma:·gc.time","ss",1,10,4.000000,NaN,"ms"
"jvbench.lavaMD.LavaMDPatternBenchmark.fmaScalar","ss",1,10,14.863909,0.005345,"s/op"
"jvbench.lavaMD.LavaMDPatternBenchmark.fmaScalar:·gc.alloc.rate","ss",1,10,0.000107,0.000196,"MB/sec"
"jvbench.lavaMD.LavaMDPatternBenchmark.fmaScalar:·gc.alloc.rate.norm","ss",1,10,1735.200000,3175.014635,"B/op"
"jvbench.lavaMD.LavaMDPatternBenchmark.fmaScalar:·gc.count","ss",1,10,0.000000,NaN,"counts"
