,Benchmark,Score,jdk,machine,benchmark,iteration,config
0,jvbench.pathfinder.PathfinderBenchmark.autoVec,46.931,19,dockerimg,pathfinder,1,autoVec
1,jvbench.pathfinder.PathfinderBenchmark.autoVec,46.754,19,dockerimg,pathfinder,2,autoVec
2,jvbench.pathfinder.PathfinderBenchmark.autoVec,13.13,19,dockerimg,pathfinder,3,autoVec
3,jvbench.pathfinder.PathfinderBenchmark.autoVec,13.599,19,dockerimg,pathfinder,4,autoVec
4,jvbench.pathfinder.PathfinderBenchmark.autoVec,14.047,19,dockerimg,pathfinder,5,autoVec
5,jvbench.pathfinder.PathfinderBenchmark.autoVec,12.502,19,dockerimg,pathfinder,6,autoVec
6,jvbench.pathfinder.PathfinderBenchmark.autoVec,13.029,19,dockerimg,pathfinder,7,autoVec
7,jvbench.pathfinder.PathfinderBenchmark.autoVec,14.003,19,dockerimg,pathfinder,8,autoVec
8,jvbench.pathfinder.PathfinderBenchmark.autoVec,12.462,19,dockerimg,pathfinder,9,autoVec
9,jvbench.pathfinder.PathfinderBenchmark.autoVec,12.996,19,dockerimg,pathfinder,10,autoVec
10,jvbench.pathfinder.PathfinderBenchmark.explicitVec,3.094,19,dockerimg,pathfinder,1,explicitVec
11,jvbench.pathfinder.PathfinderBenchmark.explicitVec,3.088,19,dockerimg,pathfinder,2,explicitVec
12,jvbench.pathfinder.PathfinderBenchmark.explicitVec,3.09,19,dockerimg,pathfinder,3,explicitVec
13,jvbench.pathfinder.PathfinderBenchmark.explicitVec,3.082,19,dockerimg,pathfinder,4,explicitVec
14,jvbench.pathfinder.PathfinderBenchmark.explicitVec,3.013,19,dockerimg,pathfinder,5,explicitVec
15,jvbench.pathfinder.PathfinderBenchmark.explicitVec,3.065,19,dockerimg,pathfinder,6,explicitVec
16,jvbench.pathfinder.PathfinderBenchmark.explicitVec,3.064,19,dockerimg,pathfinder,7,explicitVec
17,jvbench.pathfinder.PathfinderBenchmark.explicitVec,3.067,19,dockerimg,pathfinder,8,explicitVec
18,jvbench.pathfinder.PathfinderBenchmark.explicitVec,3.064,19,dockerimg,pathfinder,9,explicitVec
19,jvbench.pathfinder.PathfinderBenchmark.explicitVec,3.074,19,dockerimg,pathfinder,10,explicitVec
20,jvbench.pathfinder.PathfinderBenchmark.fullVec,3.057,19,dockerimg,pathfinder,1,fullVec
21,jvbench.pathfinder.PathfinderBenchmark.fullVec,3.071,19,dockerimg,pathfinder,2,fullVec
22,jvbench.pathfinder.PathfinderBenchmark.fullVec,3.032,19,dockerimg,pathfinder,3,fullVec
23,jvbench.pathfinder.PathfinderBenchmark.fullVec,3.028,19,dockerimg,pathfinder,4,fullVec
24,jvbench.pathfinder.PathfinderBenchmark.fullVec,2.983,19,dockerimg,pathfinder,5,fullVec
25,jvbench.pathfinder.PathfinderBenchmark.fullVec,3.024,19,dockerimg,pathfinder,6,fullVec
26,jvbench.pathfinder.PathfinderBenchmark.fullVec,3.082,19,dockerimg,pathfinder,7,fullVec
27,jvbench.pathfinder.PathfinderBenchmark.fullVec,3.063,19,dockerimg,pathfinder,8,fullVec
28,jvbench.pathfinder.PathfinderBenchmark.fullVec,3.048,19,dockerimg,pathfinder,9,fullVec
29,jvbench.pathfinder.PathfinderBenchmark.fullVec,3.045,19,dockerimg,pathfinder,10,fullVec
30,jvbench.pathfinder.PathfinderBenchmark.serial,49.557,19,dockerimg,pathfinder,1,serial
31,jvbench.pathfinder.PathfinderBenchmark.serial,49.617,19,dockerimg,pathfinder,2,serial
32,jvbench.pathfinder.PathfinderBenchmark.serial,14.229,19,dockerimg,pathfinder,3,serial
33,jvbench.pathfinder.PathfinderBenchmark.serial,12.867,19,dockerimg,pathfinder,4,serial
34,jvbench.pathfinder.PathfinderBenchmark.serial,12.482,19,dockerimg,pathfinder,5,serial
35,jvbench.pathfinder.PathfinderBenchmark.serial,13.424,19,dockerimg,pathfinder,6,serial
36,jvbench.pathfinder.PathfinderBenchmark.serial,14.213,19,dockerimg,pathfinder,7,serial
37,jvbench.pathfinder.PathfinderBenchmark.serial,12.534,19,dockerimg,pathfinder,8,serial
38,jvbench.pathfinder.PathfinderBenchmark.serial,13.462,19,dockerimg,pathfinder,9,serial
39,jvbench.pathfinder.PathfinderBenchmark.serial,14.185,19,dockerimg,pathfinder,10,serial
40,jvbench.somier.SomierBenchmark.autoVec,13.886,19,dockerimg,somier,1,autoVec
41,jvbench.somier.SomierBenchmark.autoVec,13.884,19,dockerimg,somier,2,autoVec
42,jvbench.somier.SomierBenchmark.autoVec,13.872,19,dockerimg,somier,3,autoVec
43,jvbench.somier.SomierBenchmark.autoVec,13.875,19,dockerimg,somier,4,autoVec
44,jvbench.somier.SomierBenchmark.autoVec,13.877,19,dockerimg,somier,5,autoVec
45,jvbench.somier.SomierBenchmark.autoVec,13.858,19,dockerimg,somier,6,autoVec
46,jvbench.somier.SomierBenchmark.autoVec,13.838,19,dockerimg,somier,7,autoVec
